partei,gesamt,monetar,n_monetar,veranstaltungen,verkauf,eigenmittel
Die Mitte,7458372.76333436,2862137.9908333262,141386.31000000006,42240.89999999995,79586.8291666667,4333020.733334377
Schweizerische Volkspartei,12522469.753790556,5809471.235555557,130380.3,112761.5733333334,102700,6359945.544901755
FDP.Die Liberalen,13435599.742959788,8346278.249166676,455480.10999999975,251472.19000000003,40956.57083333332,4339398.072959788
Eidgenössisch-Demokratische Union,690368.306581921,366642.31999999983,0,4098.399999999997,68777,250850.5865819209
Übrige politische Parteien,2955993.5999999917,2485346.6449999977,199658.1999999995,3372.5783333333356,3678.8583333333318,263937.31833333336
Sozialdemokratische Partei der Schweiz,7797683.113851544,4102640.745756303,432254.52000000025,35360.58166666668,19898.34166666666,3205351.92476191
Evangelische Volkspartei der Schweiz,1402745.8249999979,651287.5099999998,14546.350000000004,3047,106922.25,626942.7149999995
GRÜNE Schweiz,3815970.2528151227,1875425.0392437018,127540.59999999996,43921.85000000001,4138.750000000004,1764944.0035714197
Grünliberale Partei,3193307.395000009,1640723.120000002,65951.10999999999,8810.399999999994,8496,1469306.0250000004
Unabhängig,1185430.981666667,579340.9844444444,264287.95,36665.51666666666,0,305136.53055555554
Lega dei Ticinesi,1775.795,0,0,0,0,1775.795
